0.13,0.73,0.91,0.99,0.99,0.14,0.66,0.45,0.76,0.74,1.0,0.89,0.51,0.42,0.13,0.84,0.09,0.05,0.05,0.74,0.48,0.51,0.1,0.84,0.39,0.72,0.12,0.34,0.3,0.49,0.13,0.44,0.06,0.49,0.34,0.92
0.58,0.96,0.2,0.47,0.94,0.12,0.04,0.5,0.8,0.01,0.89,1.0,0.81,0.47,0.56,0.7,0.29,0.51,0.62,0.14,0.44,0.07,0.02,0.33,0.54,0.58,0.46,0.31,0.53,0.45,0.24,0.07,0.81,0.31,0.11,0.5
0.78,0.08,0.01,0.05,0.89,0.25,0.86,0.74,0.25,0.53,0.51,0.81,1.0,0.14,0.08,0.03,0.96,0.34,0.98,0.6,0.61,0.74,0.56,0.16,0.29,0.64,0.66,0.43,1.0,0.77,0.48,0.33,0.63,0.23,0.48,0.32
0.01,0.89,0.56,0.61,0.81,0.98,0.44,0.05,0.2,0.39,0.42,0.47,0.14,1.0,0.01,0.5,0.26,0.62,0.23,0.33,0.43,0.54,0.6,0.28,0.06,0.57,0.08,0.19,0.05,0.59,0.94,0.89,0.31,0.67,0.95,0.29
0.23,0.48,0.59,0.88,0.1,0.09,0.42,0.87,0.13,0.33,0.13,0.56,0.08,0.01,1.0,0.49,0.16,0.71,0.11,0.93,0.42,0.91,0.3,0.81,0.7,0.15,0.03,0.65,0.46,0.33,0.38,0.08,0.19,0.74,0.95,0.95
0.05,0.14,0.01,0.95,0.32,0.57,0.82,0.2,0.27,0.06,0.84,0.7,0.03,0.5,0.49,1.0,0.38,0.55,0.46,0.77,0.06,0.85,0.42,0.96,0.02,0.33,0.44,0.12,0.43,0.26,0.15,0.55,0.14,0.97,0.2,0.11
0.02,0.67,0.3,0.76,0.61,0.69,0.36,0.34,0.7,0.81,0.09,0.29,0.96,0.26,0.16,0.38,1.0,0.7,0.65,0.85,0.64,0.37,0.85,0.78,0.11,0.44,0.47,0.59,0.04,0.85,0.93,0.47,0.73,0.03,0.5,0.39
0.36,0.54,0.23,0.45,0.65,0.24,0.6,0.11,0.92,0.05,0.05,0.51,0.34,0.62,0.71,0.55,0.7,1.0,0.17,0.99,0.8,0.7,0.25,0.02,0.34,0.69,0.26,0.83,0.23,0.89,0.67,0.17,0.0,0.92,0.23,0.83
0.14,0.53,0.06,0.89,0.35,0.6,0.57,0.08,0.17,0.57,0.05,0.62,0.98,0.23,0.11,0.46,0.65,0.17,1.0,0.23,0.28,0.67,0.48,0.76,0.39,0.11,0.98,0.86,0.1,0.06,0.34,0.85,0.14,0.07,0.05,0.47
0.76,0.56,0.36,0.84,0.68,0.78,0.47,0.47,0.36,0.46,0.74,0.14,0.6,0.33,0.93,0.77,0.85,0.99,0.23,1.0,0.17,0.93,0.33,0.29,0.84,0.16,0.98,0.23,0.43,0.01,0.47,0.94,0.92,0.35,0.48,0.4
0.99,0.38,0.62,0.82,0.25,0.74,0.52,0.3,0.94,0.8,0.48,0.44,0.61,0.43,0.42,0.06,0.64,0.8,0.28,0.17,1.0,0.39,0.86,0.98,0.61,0.18,0.21,0.21,0.33,0.28,0.36,0.69,0.28,0.66,0.68,0.38
0.44,0.65,0.91,0.03,0.35,0.96,0.98,0.0,0.74,0.25,0.51,0.07,0.74,0.54,0.91,0.85,0.37,0.7,0.67,0.93,0.39,1.0,0.84,0.47,0.02,0.51,0.15,0.48,0.83,0.11,0.9,0.99,0.23,0.13,0.01,0.52
0.74,0.82,0.08,0.39,0.61,0.04,0.19,0.83,0.58,0.67,0.1,0.02,0.56,0.6,0.3,0.42,0.85,0.25,0.48,0.33,0.86,0.84,1.0,0.41,0.93,0.79,0.31,0.01,0.42,0.61,0.03,0.73,0.58,0.57,0.18,0.81
0.8,0.81,0.38,0.43,0.8,0.54,0.28,0.48,0.86,0.62,0.84,0.33,0.16,0.28,0.81,0.96,0.78,0.02,0.76,0.29,0.98,0.47,0.41,1.0,0.61,0.56,0.64,0.64,0.67,0.93,0.54,0.28,0.12,0.07,0.82,0.26
0.19,0.84,0.16,0.61,0.37,0.17,0.94,0.62,0.03,0.37,0.39,0.54,0.29,0.06,0.7,0.02,0.11,0.34,0.39,0.84,0.61,0.02,0.93,0.61,1.0,0.81,0.44,0.94,0.37,0.96,0.55,0.58,0.16,0.25,0.96,0.18
0.61,0.35,0.78,0.17,0.95,0.28,0.64,0.75,0.86,0.31,0.72,0.58,0.64,0.57,0.15,0.33,0.44,0.69,0.11,0.16,0.18,0.51,0.79,0.56,0.81,1.0,0.78,0.96,0.83,0.83,0.3,0.74,0.42,0.64,0.53,0.61
0.18,0.73,0.67,0.49,0.23,0.08,0.85,0.34,0.49,0.95,0.12,0.46,0.66,0.08,0.03,0.44,0.47,0.26,0.98,0.98,0.21,0.15,0.31,0.64,0.44,0.78,1.0,0.61,0.48,0.72,0.81,0.21,0.81,0.05,0.3,0.31
0.46,0.72,0.24,0.67,0.02,0.71,0.64,0.1,0.34,0.27,0.34,0.31,0.43,0.19,0.65,0.12,0.59,0.83,0.86,0.23,0.21,0.48,0.01,0.64,0.94,0.96,0.61,1.0,0.71,0.81,0.22,1.0,0.56,0.03,0.34,0.01
0.51,0.17,0.32,0.31,0.97,0.76,0.73,0.52,0.67,0.23,0.3,0.53,1.0,0.05,0.46,0.43,0.04,0.23,0.1,0.43,0.33,0.83,0.42,0.67,0.37,0.83,0.48,0.71,1.0,0.16,0.33,0.45,0.09,0.51,0.61,0.77
0.02,0.2,0.33,0.58,0.66,0.8,0.2,0.16,0.89,0.31,0.49,0.45,0.77,0.59,0.33,0.26,0.85,0.89,0.06,0.01,0.28,0.11,0.61,0.93,0.96,0.83,0.72,0.81,0.16,1.0,0.52,0.55,0.97,0.32,0.8,0.56
0.25,0.71,0.89,0.89,0.74,0.76,0.12,0.1,0.06,0.26,0.13,0.24,0.48,0.94,0.38,0.15,0.93,0.67,0.34,0.47,0.36,0.9,0.03,0.54,0.55,0.3,0.81,0.22,0.33,0.52,1.0,0.05,0.92,0.43,0.2,0.66
0.69,0.14,0.45,0.21,0.02,0.26,0.6,0.04,0.52,0.5,0.44,0.07,0.33,0.89,0.08,0.55,0.47,0.17,0.85,0.94,0.69,0.99,0.73,0.28,0.58,0.74,0.21,1.0,0.45,0.55,0.05,1.0,0.48,0.6,0.07,0.59
0.55,0.82,0.22,0.2,0.68,0.41,0.82,0.09,0.51,0.57,0.06,0.81,0.63,0.31,0.19,0.14,0.73,0.0,0.14,0.92,0.28,0.23,0.58,0.12,0.16,0.42,0.81,0.56,0.09,0.97,0.92,0.48,1.0,0.14,0.9,0.82
0.96,0.63,0.43,0.08,0.54,0.35,0.87,0.38,0.71,0.63,0.49,0.31,0.23,0.67,0.74,0.97,0.03,0.92,0.07,0.35,0.66,0.13,0.57,0.07,0.25,0.64,0.05,0.03,0.51,0.32,0.43,0.6,0.14,1.0,1.0,0.21
0.37,0.89,0.8,0.5,0.46,0.99,0.87,0.79,0.2,0.05,0.34,0.11,0.48,0.95,0.95,0.2,0.5,0.23,0.05,0.48,0.68,0.01,0.18,0.82,0.96,0.53,0.3,0.34,0.61,0.8,0.2,0.07,0.9,1.0,1.0,0.81
0.55,0.86,0.66,0.67,0.73,0.67,0.67,0.29,0.53,0.59,0.92,0.5,0.32,0.29,0.95,0.11,0.39,0.83,0.47,0.4,0.38,0.52,0.81,0.26,0.18,0.61,0.31,0.01,0.77,0.56,0.66,0.59,0.82,0.21,0.81,1.0
