Group,Prior,Loading,Quality
65,0.825622151,0.728775191,Poor
66,0.151961391,0.486002158,Poor
67,0.422814831,0.452601959,Poor
68,0.704045968,0.543310933,Poor
69,0.712710244,0.300911621,Poor
70,0.754589826,0.572064939,Poor
71,0.593871159,0.563288535,Poor
72,0.445942812,0.437122554,Poor
73,0.42846089,0.544512166,Poor
74,0.035084434,0.420120802,Poor
75,0.530055668,0.457711037,Poor
76,0.735462007,0.643038834,Poor
77,0.073592401,0.440028103,Poor
78,0.188950046,0.885227107,Poor
79,0.106210004,0.608350325,Poor
80,0.126521159,0.727248807,Poor
81,0.731945118,0.448295876,Poor
82,0.02698657,0.778543054,Poor
83,0.734884958,0.877621721,Poor
84,0.221019037,0.71408353,Poor
85,0.49328985,0.854354801,Poor
86,0.84771106,0.757086364,Poor
87,0.315686118,0.743205431,Poor
88,0.582990248,0.845794713,Poor
89,0.738473726,0.799233979,Poor
90,0.846784654,0.678590259,Poor
91,0.806287527,0.636529529,Poor
92,0.319278067,0.411550585,Poor
93,0.557244184,0.509445307,Poor
94,0.604765537,0.255969227,Poor
95,0.113146178,0.542867845,Poor
96,0.103139965,0.577702364,Poor
97,0.85464307,0.413518063,Poor
98,0.704110019,0.533244132,Poor
99,0.686199709,0.434398766,Poor
100,0.224900313,0.436228954,Poor
101,0.228015714,0.619356077,Poor
102,0.117582748,0.445327901,Poor
103,0.901743196,0.831315153,Poor
104,0.412798125,0.937677901,Poor
105,0.469870619,0.638591152,Poor
106,0.745008512,0.473246414,Poor
107,0.353895934,0.549287277,Poor
108,0.5785911,0.329629065,Poor
109,0.814666085,0.57102482,Poor
110,0.875029482,0.512262944,Poor
111,0.014354699,0.430865183,Poor
112,0.502869175,0.521684188,Poor
113,0.871509604,0.371564811,Poor
114,0.536719661,0.448219388,Poor
115,0.828334209,0.631580728,Poor
116,0.409279282,0.399083773,Poor
117,0.598445457,0.902083468,Poor
118,0.416887236,0.917735855,Poor
119,0.325206477,0.593574799,Poor
120,0.497466366,0.858005279,Poor
121,0.763991566,0.445691038,Poor
122,0.63229725,0.559572525,Poor
123,0.48345444,0.2811078,Poor
124,0.361870348,0.605609042,Poor
125,0.739221605,0.734368424,Poor
126,0.537623618,0.500481484,Poor
127,0.54105265,0.644110806,Poor
128,0.491473908,0.593677443,Poor
129,0.47834298,0.527690994,Poor
130,0.504351369,0.689493924,Poor
131,0.203947089,0.593015528,Poor
132,0.1825646,0.756530502,Poor
133,0.476180071,0.795100548,Poor
134,0.339780721,0.769329285,Poor
135,0.501826915,0.830558963,Poor
136,0.330087144,0.721462052,Poor
137,0.035278956,0.459459525,Poor
138,0.758486739,0.574039489,Poor
139,0.718012142,0.302635049,Poor
140,0.00896403,0.627612665,Poor
141,0.898777428,0.926051886,Poor
142,0.656989776,0.593888397,Poor
143,0.812565034,0.745324001,Poor
144,0.572238283,0.832283153,Poor
145,0.962847054,0.623881125,Poor
146,0.862703206,0.689817473,Poor
147,0.500014592,0.804194376,Poor
148,0.706002019,0.564527649,Poor
149,0.122126159,0.557437116,Poor
150,0.209462812,0.839663121,Poor
151,0.243765425,0.581174749,Poor
152,0.159509741,0.497036969,Poor
153,0.386845631,0.747927084,Poor
1,0.72048107,0.944152715,Moderate
2,0.529094874,0.91102079,Moderate
3,0.647376971,0.881946042,Moderate
4,0.534465466,0.971154733,Moderate
5,0.863729485,0.939144845,Moderate
6,0.639136802,0.934639269,Moderate
7,0.422332828,0.673273817,Moderate
8,0.685030264,0.643764781,Moderate
9,0.429196208,0.755777396,Moderate
10,0.69037334,0.697230046,Moderate
11,0.627882284,0.854486084,Moderate
12,0.774081136,0.815059718,Moderate
13,0.55880343,0.881468555,Moderate
14,0.669645742,0.854956602,Moderate
15,0.438721943,0.711586392,Moderate
16,0.434510603,0.285082038,Moderate
17,0.574624965,0.255199187,Moderate
18,0.427360645,0.367533982,Moderate
19,0.456074928,0.308510477,Moderate
20,0.471507898,0.611147969,Moderate
21,0.064817222,0.343192317,Moderate
22,0.288062213,0.301604986,Moderate
23,0.035535139,0.268749403,Moderate
24,0.151987019,0.38483225,Moderate
25,0.154837547,0.323503307,Moderate
26,0.459975011,0.62140503,Moderate
27,0.040623381,0.376388301,Moderate
28,0.383406499,0.909564557,Moderate
29,0.489097285,0.443062653,Moderate
30,0.484969572,0.414064822,Moderate
31,0.223209173,0.52772833,Moderate
32,0.062391,0.466698393,Moderate
33,0.329273467,0.767908651,Moderate
34,0.599514941,0.504340257,Moderate
35,0.928543372,0.834440201,Moderate
36,0.45502253,0.845310013,Moderate
37,0.582745848,0.271887516,Moderate
38,0.451258933,0.242394108,Moderate
39,0.199746773,0.356328286,Moderate
40,0.511200188,0.295241776,Moderate
41,0.698435671,0.596837364,Moderate
42,0.602620733,0.338612115,Moderate
43,0.984642133,0.944923373,Moderate
44,0.912489777,0.934923364,Moderate
45,0.394994691,0.828327478,Moderate
46,0.621349076,0.314385766,Moderate
47,0.484930235,0.283425459,Moderate
48,0.662707232,0.39921896,Moderate
49,0.61754021,0.336866264,Moderate
50,0.610142137,0.63409333,Moderate
51,0.516138086,0.390110171,Moderate
52,0.969054084,0.896700962,Moderate
53,0.58280016,0.961586864,Moderate
54,1,0.861041215,Moderate
55,0.678865169,0.932971199,Moderate
56,0.235734909,0.336582134,Moderate
57,0.370221907,0.298571479,Moderate
58,0.534621744,0.415722807,Moderate
59,0.454129009,0.35361294,Moderate
60,0.604537175,0.608100709,Moderate
61,0.66525995,0.44492107,Moderate
62,0.85925757,0.713263418,Moderate
63,0.427579111,0.802452929,Moderate
64,0.638796414,0.751531193,Moderate
65,0.812632146,0.744442192,Moderate
66,0.438307454,0.806008459,Moderate
67,0.365630014,0.412938849,Moderate
68,0.529514703,0.372939679,Moderate
69,0.584329504,0.458321988,Moderate
70,0.582523996,0.414862949,Moderate
71,0.515666806,0.486706676,Moderate
72,0.445109659,0.557283295,Moderate
73,0.313733733,0.345135018,Moderate
74,0.108635616,0.425447192,Moderate
75,0.461006078,0.453669278,Moderate
76,0.496123664,0.367637667,Moderate
77,0.134271644,0.433967355,Moderate
78,0.235012951,0.608703554,Moderate
79,0.099744748,0.332940962,Moderate
80,0.086939574,0.294989533,Moderate
81,0.548001988,0.37789723,Moderate
82,0.036382201,0.334622062,Moderate
83,0.561643662,0.408306395,Moderate
84,0.242894054,0.47804809,Moderate
85,0.327901994,0.293985009,Moderate
86,0.63740504,0.378261627,Moderate
87,0.281887473,0.392505782,Moderate
88,0.364239027,0.321340634,Moderate
89,0.562701823,0.38731553,Moderate
90,0.656647242,0.570148669,Moderate
91,0.861442566,0.913388174,Moderate
92,0.198612682,0.216301952,Moderate
93,0.332478848,0.176921626,Moderate
94,0.420039464,0.261342572,Moderate
95,0.047529031,0.217799496,Moderate
96,0.090795058,0.306555263,Moderate
97,0.627785316,0.360821645,Moderate
98,0.469580062,0.239174868,Moderate
99,0.526589526,0.32733346,Moderate
100,0.211009258,0.317130324,Moderate
101,0.120445036,0.269723115,Moderate
102,0.13711166,0.333023884,Moderate
103,0.691961336,0.524618077,Moderate
104,0.547808928,0.802678597,Moderate
105,0.628736279,0.87967462,Moderate
106,0.535756933,0.300299514,Moderate
107,0.23423615,0.258136024,Moderate
108,0.467944637,0.356328328,Moderate
109,0.57047026,0.306072055,Moderate
110,0.687054797,0.441825704,Moderate
111,0.090948681,0.440757499,Moderate
112,0.442195196,0.40067925,Moderate
113,0.76294908,0.488253746,Moderate
114,0.532215112,0.473629751,Moderate
115,0.63976346,0.428934259,Moderate
116,0.445266017,0.491883201,Moderate
117,0.5945365,0.684334012,Moderate
118,0.538401574,0.844696503,Moderate
119,0.466603872,0.852692436,Moderate
120,0.592037944,0.835677981,Moderate
121,0.472971528,0.220158456,Moderate
122,0.35544066,0.180799783,Moderate
123,0.305308812,0.268967739,Moderate
124,0.188489559,0.223046835,Moderate
125,0.493048479,0.325696862,Moderate
126,0.382392595,0.364704372,Moderate
127,0.327866697,0.272019707,Moderate
128,0.363741697,0.3606912,Moderate
129,0.352757545,0.346275009,Moderate
130,0.280306111,0.303688884,Moderate
131,0.166749165,0.366562118,Moderate
132,0.169926341,0.558210377,Moderate
133,0.561996063,0.806316666,Moderate
134,0.517121849,0.878621718,Moderate
135,0.671014253,0.961333923,Moderate
136,0.446320552,0.864131345,Moderate
137,0.0301114,0.32055945,Moderate
138,0.492030319,0.281722444,Moderate
139,0.541220348,0.39114517,Moderate
140,0,0.332561278,Moderate
141,0.679383557,0.526272176,Moderate
142,0.512298992,0.451658072,Moderate
143,0.63044832,0.543130362,Moderate
144,0.53619783,0.632074501,Moderate
145,0.799644439,0.605754704,Moderate
146,0.642804485,0.576716084,Moderate
147,0.486718157,0.639584196,Moderate
148,0.644630349,0.828826281,Moderate
149,0.335890898,0.746205547,Moderate
150,0.401112866,0.728616303,Moderate
151,0.439311515,0.69175939,Moderate
152,0.436634507,0.842195127,Moderate
153,0.509273564,0.726377417,Moderate
1,0.917917792,0.914025383,Good
2,0.790049475,0.851477098,Good
3,0.77877036,0.780845939,Good
4,0.897930645,0.966159871,Good
5,0.985880217,0.947054376,Good
6,0.804367914,0.822324691,Good
7,0.742541047,0.792481342,Good
8,0.768087114,0.716275001,Good
9,0.849578425,0.932362246,Good
10,0.802138876,0.760951782,Good
11,0.849605465,0.861065249,Good
12,0.854572833,0.805757035,Good
13,0.783224599,0.824741299,Good
14,0.850583527,0.844088601,Good
15,0.743003879,0.788324596,Good
16,0.333094078,0.289238848,Good
17,0.322806119,0.214793684,Good
18,0.454760499,0.433116343,Good
19,0.317368727,0.257730907,Good
20,0.489822679,0.496246039,Good
21,0.238776351,0.312499012,Good
22,0.316601186,0.34998958,Good
23,0.184196457,0.271950154,Good
24,0.394184085,0.487995143,Good
25,0.253177895,0.31772248,Good
26,0.512131178,0.551856447,Good
27,0.278285143,0.402918308,Good
28,0.768272095,0.83388122,Good
29,0.445760249,0.411389154,Good
30,0.390439915,0.336605826,Good
31,0.485929939,0.555464752,Good
32,0.292774742,0.379928508,Good
33,0.540553194,0.617964208,Good
34,0.512476046,0.448443237,Good
35,0.916581733,0.852030037,Good
36,0.826356374,0.900002805,Good
37,0.33575913,0.258991132,Good
38,0.244591221,0.186328998,Good
39,0.345423092,0.404751932,Good
40,0.292300616,0.228015094,Good
41,0.516199173,0.466321738,Good
42,0.359398277,0.284121258,Good
43,1,0.95186161,Good
44,0.893834417,0.816803369,Good
45,0.711161187,0.83094638,Good
46,0.418323396,0.32959187,Good
47,0.32256137,0.253462668,Good
48,0.551895252,0.469481719,Good
49,0.394934268,0.297914035,Good
50,0.557610461,0.531590845,Good
51,0.424007089,0.384250221,Good
52,0.943149148,0.831126046,Good
53,0.914975618,0.958699374,Good
54,0.994486232,0.890040159,Good
55,0.825045932,0.825071786,Good
56,0.327054166,0.357495483,Good
57,0.312660741,0.279846802,Good
58,0.535365871,0.492206124,Good
59,0.371231484,0.325574668,Good
60,0.581323444,0.55419059,Good
61,0.499385248,0.420946602,Good
62,0.887701598,0.781836766,Good
63,0.855578146,0.946300229,Good
64,0.89554619,0.868461155,Good
65,0.832711376,0.768969952,Good
66,0.849973698,0.939814045,Good
67,0.432945835,0.408432707,Good
68,0.439734521,0.348441317,Good
69,0.531387297,0.45679731,Good
70,0.484237102,0.386920077,Good
71,0.529602025,0.480849699,Good
72,0.554781562,0.542012005,Good
73,0.331678093,0.321123714,Good
74,0.366535697,0.482584361,Good
75,0.495955511,0.450330353,Good
76,0.345498046,0.303411802,Good
77,0.373337629,0.473647046,Good
78,0.437710501,0.530748643,Good
79,0.27575644,0.336553648,Good
80,0.230968835,0.280429054,Good
81,0.44450433,0.38244596,Good
82,0.242246988,0.31654817,Good
83,0.466493697,0.404758797,Good
84,0.418627362,0.472349677,Good
85,0.289859773,0.266172821,Good
86,0.487616046,0.430254094,Good
87,0.391195175,0.391799658,Good
88,0.262744832,0.251844724,Good
89,0.464681919,0.425102843,Good
90,0.523942817,0.480849285,Good
91,0.942635833,0.919124057,Good
92,0.234419947,0.228523068,Good
93,0.23133285,0.169459457,Good
94,0.342486258,0.280927902,Good
95,0.17255146,0.207227769,Good
96,0.262524771,0.308879933,Good
97,0.462684717,0.362589376,Good
98,0.329538772,0.233175156,Good
99,0.453038074,0.39927446,Good
100,0.355977407,0.345291445,Good
101,0.186306766,0.221367955,Good
102,0.332514292,0.396133831,Good
103,0.531310264,0.450784165,Good
104,0.778179792,0.820064785,Good
105,0.867148155,0.885033416,Good
106,0.408331689,0.339622353,Good
107,0.263645111,0.268001271,Good
108,0.457906124,0.424680498,Good
109,0.399210728,0.312302508,Good
110,0.550254089,0.467602755,Good
111,0.35573276,0.456671109,Good
112,0.489845206,0.456367235,Good
113,0.693392347,0.622348803,Good
114,0.61982593,0.565232815,Good
115,0.512230074,0.442020342,Good
116,0.593442176,0.615883145,Good
117,0.6697359,0.672592324,Good
118,0.756614162,0.816703468,Good
119,0.720643546,0.788582072,Good
120,0.770833038,0.77498526,Good
121,0.273096441,0.210524597,Good
122,0.194971605,0.151466104,Good
123,0.258639329,0.264611826,Good
124,0.171240366,0.189153684,Good
125,0.335912531,0.293091056,Good
126,0.343583925,0.344482393,Good
127,0.239804728,0.227569564,Good
128,0.357615143,0.393529838,Good
129,0.351175261,0.33781826,Good
130,0.19082592,0.216768388,Good
131,0.296580733,0.391421519,Good
132,0.324798378,0.445293177,Good
133,0.737910649,0.801844222,Good
134,0.798215419,0.867752468,Good
135,0.911386534,0.979721062,Good
136,0.678265075,0.767395575,Good
137,0.222045422,0.305524435,Good
138,0.313878131,0.23619013,Good
139,0.446625933,0.39503535,Good
140,0.194258428,0.278808742,Good
141,0.511302922,0.437102407,Good
142,0.457351622,0.423298992,Good
143,0.51161825,0.45037869,Good
144,0.589969085,0.615728071,Good
145,0.665222426,0.556710361,Good
146,0.481846124,0.441128416,Good
147,0.574642967,0.615724586,Good
148,0.649209958,0.668241136,Good
149,0.693011896,0.791694926,Good
150,0.721446422,0.780469629,Good
151,0.755733386,0.778448247,Good
152,0.83899933,0.939537605,Good
153,0.7345346,0.775187622,Good
